,cur_date,stock_code,stock_name,cost_avg,close_price,distribution_desc,max_price,min_price,profit_rate,ylw,zcw,cost70_jgqj_down,cost70_jgqj_up,cost70_jzd,cost90_jgqj_down,cost90_jgqj_up,cost90_jzd,popularity,total_stock,popularity_desc,new_rate,old_rate,old_avg_rate
14,05-29,300130,新国都,17.22,16.10,该股近120天的平均成本17.22元，盈利比例16.29%，筹码状态相对密集。,19.88,10.85,16.29%,18.28,16.5,16.03,18.20,6.34%,13.09,18.76,17.80%,1911,3634,个股近期人气趋势图，目前市场人气排名为1911/3634，用户中度关注。,40,60,40
15,05-31,300130,新国都,17.22,16.17,该股近120天的平均成本17.22元，盈利比例17.32%，筹码状态相对密集。,19.88,10.85,17.32%,18.28,15.7,16.03,18.20,6.34%,13.09,18.76,17.80%,2066,3634,个股近期人气趋势图，目前市场人气排名为2066/3634，用户中度关注。,40,60,40
17,06-03,300130,新国都,17.22,15.89,该股近120天的平均成本17.22元，盈利比例14.23%，筹码状态相对密集。,19.88,10.85,14.23%,18.28,16.5,15.96,18.20,6.56%,13.09,18.76,17.80%,2209,3636,个股近期人气趋势图，目前市场人气排名为2209/3636，用户中度关注。,39,61,39
19,06-04,300130,新国都,17.22,16.04,该股近120天的平均成本17.22元，盈利比例16.23%，筹码状态相对密集。,19.88,10.85,16.23%,18.28,15.65,15.96,18.20,6.56%,13.09,18.76,17.80%,2266,3636,个股近期人气趋势图，目前市场人气排名为2266/3636，用户中度关注。,40,60,40
20,06-05,300130,新国都,17.22,16.02,该股近120天的平均成本17.22元，盈利比例15.27%，筹码状态相对密集。,19.88,10.85,15.27%,18.28,15.65,15.96,18.20,6.56%,13.16,18.76,17.54%,2342,3639,个股近期人气趋势图，目前市场人气排名为2342/3639，用户中度关注。,39,61,39
21,06-06,300130,新国都,17.22,15.80,该股近120天的平均成本17.22元，盈利比例12.29%，筹码状态相对密集。,19.88,10.85,12.29%,18.28,16.5,15.96,18.20,6.56%,13.16,18.76,17.54%,2495,3639,个股近期人气趋势图，目前市场人气排名为2495/3639，用户中度关注。,39,61,39
22,06-10,300130,新国都,17.15,16.20,该股近120天的平均成本17.15元，盈利比例20.69%，筹码状态相对密集。,19.81,10.78,20.69%,18.28,15.63,15.96,18.20,6.56%,13.23,18.76,17.29%,2322,3641,个股近期人气趋势图，目前市场人气排名为2322/3641，用户中度关注。,38,62,38
23,06-11,300130,新国都,17.15,16.65,该股近120天的平均成本17.15元，盈利比例29.32%，筹码状态相对密集。,19.81,10.78,29.32%,18.28,15.63,15.96,18.20,6.56%,13.23,18.76,17.29%,2366,3641,个股近期人气趋势图，目前市场人气排名为2366/3641，用户中度关注。,38,62,38
24,06-12,300130,新国都,17.15,16.20,该股近120天的平均成本17.15元，盈利比例20.76%，筹码状态相对密集。,19.81,10.78,20.76%,16.71,15.63,15.96,18.20,6.56%,13.30,18.76,17.03%,2394,3641,个股近期人气趋势图，目前市场人气排名为2394/3641，用户中度关注。,38,62,38
25,06-13,300130,新国都,17.15,16.32,该股近120天的平均成本17.15元，盈利比例24.33%，筹码状态相对密集。,19.81,10.78,24.33%,16.71,15.63,15.96,18.20,6.56%,13.44,18.76,16.52%,2356,3641,个股近期人气趋势图，目前市场人气排名为2356/3641，用户中度关注。,39,61,39
26,06-14,300130,新国都,17.15,15.80,该股近120天的平均成本17.15元，盈利比例11.60%，筹码状态相对密集。,19.81,10.78,11.60%,16.71,15.63,15.96,18.20,6.56%,13.93,18.69,14.59%,2384,3641,个股近期人气趋势图，目前市场人气排名为2384/3641，用户中度关注。,39,61,39
